name,location,given_by,dialogue,requirements,objectives,rewards,previous,leads_to
Debut,,Prapor,,,Eliminate 5 Scavs all over the Tarkov territory | Obtain and hand over 2 MP-133 12ga shotguns,"+1,700 EXP | Prapor Rep +0.02 | Jaeger Rep +0.01 | 15,000 Roubles 15,750 Roubles with Intelligence center Level 1 17,250 Roubles with Intelligence center Level 2 | 1× PP-91 Kedr 9x18PM submachine gun | 2× 9x18mm PM BZhT gzh ammo pack (50 pcs) | Unlocks purchase of Kalashnikov AKS-74UB 5.45x39 assault rifle at Prapor LL1",Shooting Cans,Search Mission | Luxurious Life
Background Check,Customs,Prapor,,Must be level 2 to start this quest.,Obtain the Bronze pocket watch on a chain on Customs ( Optional ) Obtain the key to the fuel tanker truck | Hand over the pocket watch,"+1,800 EXP | Prapor Rep +0.03 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 1× TOZ Simonov SKS 7.62x39 carbine | 3× 7.62x39mm FMJ ammo pack (20 pcs)",Luxurious Life,Shootout Picnic | Delivery From the Past
Shootout Picnic,Woods,Prapor,,Must be level 3 to start this quest.,Eliminate 15 Scavs on Woods,"+2,000 EXP | Prapor Rep +0.03 | 20,000 Roubles 21,000 Roubles with Intelligence Center Level 1 23,000 Roubles with Intelligence Center Level 2 | 1× Kalashnikov AKS-74UN 5.45x39 assault rifle | 3× AK-74 5.45x39 6L20 30-round magazine | 3× 5.45x39mm PP gs ammo pack (30 pcs) | 1× Morphine injector | Unlocks purchase of Lebedev PL-15 9x19 pistol at Prapor LL1 | Unlocks purchase of 6B5-16 Zh-86 Uley armored rig (Khaki) at Prapor LL2 | Unlocks Duck Hideout shooting range target style",Background Check,
Delivery From the Past,"Customs , Factory",Prapor,,Must be level 5 to start this quest.,Obtain the secure folder in the Tarcone Director's office at the Customs terminal warehouse | Stash the package in the break room on the 2nd floor near Gate 3 on Factory,"+4,000 EXP | Prapor Rep +0.03 | 20,000 Roubles 21,000 Roubles with Intelligence Center Level 1 23,000 Roubles with Intelligence Center Level 2 | 1× Saiga-12K ver.10 12ga semi-automatic shotgun | 4× SOK-12 12ga Sb.5 5-round magazine | 2× 12/70 8.5mm Magnum buckshot ammo pack (25 pcs) | Unlocks purchase of 5.45x39mm FMJ at Prapor LL2",Background Check,BP Depot
BP Depot,Customs,Prapor,,Must be level 5 to start this quest.,Locate and mark the first fuel tank with an MS2000 Marker on Customs | Locate and mark the second fuel tank with an MS2000 Marker on Customs | Locate and mark the third fuel tank with an MS2000 Marker on Customs | Locate and mark the fourth fuel tank with an MS2000 Marker on Customs | Survive and extract from the location,"+2,800 EXP | Prapor Rep +0.03 | Jaeger Rep -0.01 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 2× Expeditionary fuel tank | Unlocks purchase of PP-9 Klin 9x18PMM submachine gun at Prapor LL1",Delivery From the Past,Bad Rep Evidence | The Bunker - Part 1 | Belka and Strelka
Bad Rep Evidence,Customs,Prapor,,Must be level 6 to start this quest,Obtain Secure Folder 0031 in the bunkhouse on Customs ( Optional ) Gain access to the locked room in the office hallway on the third floor on Factory ( Optional ) Obtain the Portable bunkhouse key | Hand over the folder to Prapor | Survive and extract from the location,"+4,100 EXP | Prapor Rep +0.03 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 1× PP-91-01 Kedr-B 9x18PM submachine gun | 3× PP-91 Kedr 9x18PM 30-round magazine | 3× 9x18mm PM PS gs PPO ammo pack (50 pcs) | Unlocks purchase of BelOMO PSO-1M2-1 4x24 scope at Prapor LL2 | Unlocks purchase of SSSh-94 SFERA-S helmet at Prapor LL1",BP Depot,Ice Cream Cones
Ice Cream Cones,,Prapor,,Must be level 9 to start this quest.,Find 3 AK-74 5.45x39 6L31 60-round magazines in raid ( Optional ) Find the key to the bunker in the TerraGroup employee's dorm room ( Optional ) Locate the locked bunker on Woods | Hand over the 3 AK-74 5.45x39 6L31 60-round magazines,"+5,200 EXP | Prapor Rep +0.02 | 17,000 Roubles 17,850 Roubles with Intelligence Center Level 1 19,550 Roubles with Intelligence Center Level 2 | 1× RPK-16 5.45x39 light machine gun | 2× 5.45x39mm PP gs ammo pack (120 pcs) | Unlocks barter for AK-74 5.45x39 6L31 60-round magazine at Prapor LL2",Bad Rep Evidence,Postman Pat - Part 1 | Shaking Up the Teller
Postman Pat - Part 1,Factory,Prapor,,Must be level 10 to start this quest.,Obtain the letter on the messenger's body on Factory | Survive and extract from the location | Hand over the letter to Therapist,"+5,900 EXP | Prapor Rep +0.02 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 1× ANA Tactical Beta 2 Battle backpack (Olive Drab) | 1× 6B23-1 body armor (EMR)",Ice Cream Cones,Postman Pat - Part 2 | You've Got Mail | Possessor
Shaking Up the Teller,Customs,Prapor,,Obtain level 2 loyalty with Prapor,Obtain the valuable item in dorm room 203 on Customs ( Optional ) Gain access to dorm room 214 | Hand over the valuable item,"+5,900 EXP | Prapor Rep +0.02 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2 | 1× Geiger-Muller counter | Unlocks purchase of AKS-74U PBS-4 5.45x39 sound suppressor at Prapor LL3 | Unlocks purchase of Hexagon 12K 12ga sound suppressor at Skier LL2",Ice Cream Cones,The Punisher - Part 1 | Perfect Mediator | Anesthesia
The Punisher - Part 1,Shoreline,Prapor,,Must be level 17 to start this quest.,Eliminate 15 Scavs while using an AKM series weapon on Shoreline,"+10,200 EXP | Prapor Rep +0.02 | 40,000 Roubles 42,000 Roubles with Intelligence Center Level 1 46,000 Roubles with Intelligence Center Level 2 | 1× 6B43 Zabralo-Sh body armor (EMR) | Unlocks purchase of SV-98 7.62x54R bolt-action sniper rifle at Prapor LL3 | Unlocks purchase of 7.62x39mm PS gzh at Prapor LL3",Shaking Up the Teller,The Punisher - Part 2
